post,generic_links,g_early-intervention,g_parent-training,g_behavior-support,g_transition-planning,state_links,sig_nj,sig_ga,sig_nc,best_state
/post/aba-therapy-for-thirteen-year-old,1,0,1,0,0,0,3,5,3,georgia
/post/aba-therapy-services-in-georgia-overview,1,1,0,0,0,0,2,44,2,georgia
/post/aba-therapy-to-reduce-escape-maintained-behaviors,2,0,1,1,0,0,2,4,2,georgia
/post/aba-vs-abab-design-in-aba,0,0,0,0,0,0,4,6,4,georgia
/post/activities-for-autistic-teenagers,1,0,1,0,0,0,3,5,3,georgia
/post/addressing-sensory-seeking-behaviors-in-therapy,1,0,0,1,0,0,2,4,2,georgia
/post/applied-behavior-analysis-books-to-read,1,0,0,1,0,0,1,3,1,georgia
/post/are-autistic-people-better-at-logical-thinking,1,1,0,0,0,0,1,3,1,georgia
/post/are-online-autism-tests-accurate,1,1,0,0,0,0,2,4,2,georgia
/post/autism-and-addictions-close-connection,1,0,0,1,0,0,2,4,2,georgia
/post/autism-and-bed-wetting,1,0,0,1,0,0,2,4,2,georgia
/post/autism-and-bipolar-disorder,1,0,0,1,0,0,2,4,1,georgia
/post/autism-and-cancer,1,0,0,1,0,0,1,3,1,georgia
/post/autism-and-cognitive-behavioral-therapy-cbt,1,1,0,0,0,0,2,4,2,georgia
/post/autism-and-deafness,1,0,0,1,0,0,1,3,1,georgia
/post/autism-and-equine-therapy,0,0,0,0,0,0,2,4,2,georgia
/post/autism-and-gluten-free-casein-free-gfcf-diet,1,0,1,0,0,0,2,4,2,georgia
/post/autism-and-head-size,1,0,0,1,0,0,1,3,1,georgia
/post/autism-and-impulse-control,2,0,1,1,0,0,1,3,1,georgia
/post/autism-and-meditation,1,0,0,1,0,0,1,3,1,georgia
/post/autism-and-narcissism,1,0,0,1,0,0,2,4,2,georgia
/post/autism-and-prenatal-development,1,0,0,1,0,0,1,3,1,georgia
/post/autism-and-schizophrenia,1,0,0,1,0,0,2,4,2,georgia
/post/autism-and-testosterone,1,0,0,1,0,0,1,3,1,georgia
/post/autism-and-tics,1,0,0,1,0,0,1,3,1,georgia
/post/autism-and-vocational-training,1,0,0,0,1,0,1,3,1,georgia
/post/autism-and-yoga,1,0,0,1,0,0,1,3,1,georgia
/post/autism-behavior-consultants,0,0,0,0,0,0,2,4,2,georgia
/post/autism-diagnostic-criteria-dsm-5,1,1,0,0,0,0,4,6,4,georgia
/post/autism-facial-expressions,1,1,0,0,0,0,1,3,1,georgia
/post/autism-gene-therapy,1,0,0,1,0,0,2,4,2,georgia
/post/autism-heart,1,0,0,1,0,0,2,4,2,georgia
/post/autism-in-europe,1,1,0,0,0,0,2,4,2,georgia
/post/autism-in-italy,1,1,0,0,0,0,3,4,2,georgia
/post/autism-life-expectancy-level-one,1,1,0,0,0,0,2,4,2,georgia
/post/autism-noise-sensitivity,1,0,0,1,0,0,2,4,2,georgia
/post/autism-nursing-care-plan,1,0,0,1,0,0,2,4,2,georgia
/post/autism-obsessions,2,0,1,1,0,0,2,4,2,georgia
/post/autism-physical-traits,1,1,0,0,0,0,2,4,2,georgia
/post/autism-prevalence-in-north-carolina,1,1,0,0,0,0,1,3,25,north-carolina
/post/autism-risk-calculator,1,1,0,0,0,0,2,4,2,georgia
/post/autism-routines,2,0,1,1,0,0,1,3,1,georgia
/post/autism-screening-during-pregnancy,1,0,0,1,0,0,4,6,4,georgia
/post/autism-services-for-adults-in-arizona,2,1,0,1,0,0,3,4,2,georgia
/post/autism-severe-behavior-problems,2,0,1,1,0,0,1,3,1,georgia
/post/autism-stimming-behaviors,1,0,0,1,0,0,2,4,2,georgia
/post/autism-symbols-and-colors,1,0,1,0,0,0,2,4,2,georgia
/post/autism-toe-walking,1,0,0,1,0,0,2,4,2,georgia
/post/autism-treatment-breakthrough,1,1,0,0,0,0,2,4,2,georgia
/post/autism-treatment-evaluation-checklist,1,0,0,0,1,0,4,6,4,georgia
/post/autism-treatment-expenses,1,1,0,0,0,0,9,8,6,new-jersey
/post/autism-treatment-for-adults,1,1,0,0,0,0,2,4,2,georgia
/post/autism-unemployment-rate,0,0,0,0,0,0,2,4,2,georgia
/post/autism-violent-behaviors,2,0,1,1,0,0,2,4,2,georgia
/post/autistic-brain-vs-normal-brain,1,1,0,0,0,0,2,4,2,georgia
/post/autistic-savant,1,1,0,0,0,0,2,4,2,georgia
/post/average-cost-of-autism-treatment,1,1,0,0,0,0,12,11,9,new-jersey
/post/behavior-cusp,0,0,0,0,0,0,2,4,2,georgia
/post/behavioral-skills-training-in-aba-therapy,1,0,0,1,0,0,1,3,1,georgia
/post/behavioral-strategies-for-improving-social-interactions-in-children-with-autism,1,0,0,1,0,0,2,4,2,georgia
/post/best-dogs-for-autism,1,0,1,0,0,0,2,4,2,georgia
/post/building-communication-skills-through-augmentative-and-alternative-communication-aac,1,1,0,0,0,0,1,3,1,georgia
/post/calming-sensory-room-ideas-for-autism,1,0,0,1,0,0,2,4,1,georgia
